,time,equity,balance
0,2017.01.01,10000.0,10000.0
1,2017.01.01 22:00:00,10000.0,10000.0
2,2017.01.01 22:15:00,10000.0,10000.0
3,2017.01.01 22:30:00,10000.0,10000.0
4,2017.01.01 22:45:00,10000.0,10000.0
5,2017.01.01 23:00:00,10000.0,10000.0
6,2017.01.01 23:15:00,10000.0,10000.0
7,2017.01.01 23:30:00,10000.0,10000.0
8,2017.01.01 23:45:00,10000.0,10000.0
9,2017.01.02 00:00:00,10000.0,10000.0
10,2017.01.02 00:15:00,10000.0,10000.0
11,2017.01.02 00:30:00,10000.0,10000.0
12,2017.01.02 00:45:00,10000.0,10000.0
13,2017.01.02 01:00:00,10000.0,10000.0
14,2017.01.02 01:15:00,10000.0,10000.0
15,2017.01.02 01:30:00,10000.0,10000.0
16,2017.01.02 01:45:00,10000.0,10000.0
17,2017.01.02 02:00:00,10000.0,10000.0
18,2017.01.02 02:15:00,10000.0,10000.0
19,2017.01.02 02:30:00,10000.0,10000.0
20,2017.01.02 02:45:00,10000.0,10000.0
21,2017.01.02 03:00:00,10000.0,10000.0
22,2017.01.02 03:15:00,10000.0,10000.0
23,2017.01.02 03:30:00,10000.0,10000.0
24,2017.01.02 03:45:00,10000.0,10000.0
25,2017.01.02 04:00:00,10000.0,10000.0
26,2017.01.02 04:15:00,10000.0,10000.0
27,2017.01.02 04:30:00,10000.0,10000.0
28,2017.01.02 04:45:00,10000.0,10000.0
29,2017.01.02 05:00:00,10000.0,10000.0
30,2017.01.02 05:15:00,10000.0,10000.0
31,2017.01.02 05:30:00,10000.0,10000.0
32,2017.01.02 05:45:00,10000.0,10000.0
33,2017.01.02 06:00:00,10000.0,10000.0
34,2017.01.02 06:15:00,10000.0,10000.0
35,2017.01.02 06:30:00,10000.0,10000.0
36,2017.01.02 06:45:00,10000.0,10000.0
37,2017.01.02 07:00:00,10000.0,10000.0
38,2017.01.02 07:15:00,10000.0,10000.0
39,2017.01.02 07:30:00,10000.0,10000.0
40,2017.01.02 07:45:00,10000.0,10000.0
41,2017.01.02 08:00:00,10000.0,10000.0
42,2017.01.02 08:15:00,10000.0,10000.0
43,2017.01.02 08:30:00,10000.0,10000.0
44,2017.01.02 08:45:00,10000.0,10000.0
45,2017.01.02 09:00:00,10000.0,10000.0
46,2017.01.02 09:15:00,10000.0,10000.0
47,2017.01.02 09:30:00,10000.0,10000.0
48,2017.01.02 09:45:00,10000.0,10000.0
49,2017.01.02 10:00:00,10000.0,10000.0
50,2017.01.02 10:15:00,10000.0,10000.0
51,2017.01.02 10:30:00,10000.0,10000.0
52,2017.01.02 10:45:00,10000.0,10000.0
53,2017.01.02 11:00:00,10000.0,10004.000000000004
54,2017.01.02 11:15:00,10000.0,10008.99999999999
55,2017.01.02 11:30:00,10000.0,10014.000000000002
56,2017.01.02 11:45:00,10000.0,10021.999999999987
57,2017.01.02 12:00:00,10000.0,10026.999999999998
58,2017.01.02 12:15:00,10000.0,10087.999999999998
59,2017.01.02 12:30:00,10000.0,10080.999999999996
60,2017.01.02 12:45:00,10000.0,10085.0
61,2017.01.02 13:00:00,10000.0,10156.999999999984
62,2017.01.02 13:00:00,10200.0,10200.0
63,2017.01.02 13:15:00,10200.0,10200.0
64,2017.01.02 13:30:00,10200.0,10185.000000000011
65,2017.01.02 13:45:00,10200.0,10180.000000000002
66,2017.01.02 14:00:00,10200.0,10180.000000000002
67,2017.01.02 14:15:00,10200.0,10174.00000000003
68,2017.01.02 14:30:00,10200.0,10154.00000000001
69,2017.01.02 14:45:00,10200.0,10102.0
70,2017.01.02 15:00:00,10200.0,10114.000000000013
71,2017.01.02 15:15:00,10200.0,10163.000000000024
72,2017.01.02 15:30:00,10200.0,10169.000000000018
73,2017.01.02 15:45:00,10200.0,10159.000000000018
74,2017.01.02 16:00:00,10200.0,10126.000000000002
75,2017.01.02 16:15:00,10200.0,10124.999999999996
76,2017.01.02 16:30:00,10200.0,10127.00000000001
77,2017.01.02 16:45:00,10200.0,10129.000000000022
78,2017.01.02 17:00:00,10200.0,10147.000000000007
79,2017.01.02 17:15:00,10200.0,10162.000000000016
80,2017.01.02 17:30:00,10200.0,10182.000000000015
81,2017.01.02 17:45:00,10200.0,10180.000000000002
82,2017.01.02 18:00:00,10200.0,10185.000000000011
83,2017.01.02 18:15:00,10200.0,10209.999999999998
84,2017.01.02 18:30:00,10200.0,10225.000000000007
85,2017.01.02 18:45:00,10200.0,10232.00000000001
86,2017.01.02 19:00:00,10200.0,10232.00000000001
87,2017.01.02 19:15:00,10200.0,10216.000000000015
88,2017.01.02 19:30:00,10200.0,10218.000000000005
89,2017.01.02 19:45:00,10200.0,10229.999999999996
90,2017.01.02 20:00:00,10200.0,10242.000000000007
91,2017.01.02 20:15:00,10200.0,10260.999999999998
92,2017.01.02 20:30:00,10200.0,10255.000000000004
93,2017.01.02 20:45:00,10200.0,10249.00000000001
94,2017.01.02 21:00:00,10200.0,10243.000000000015
95,2017.01.02 21:15:00,10200.0,10324.999999999996
96,2017.01.02 21:30:00,10200.0,10324.999999999996
97,2017.01.02 21:45:00,10200.0,10300.000000000011
98,2017.01.02 22:00:00,10200.0,10296.000000000005
